We have 342 topology rules
367 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
(0xxxxxxx,D3,D134,DX,DX,D6,D171,D64,D78,D248,D171,010000xx,DX,DX,D0,D78 - (DX,D3,D134,DX,DX,D6,D171,D64,D78,D248,D171,D66,D180,101100xx,D0,D78 + DX,D3,D134,DX,DX,D6,D171,D64,D78,D248,D171,D66,D183,01110xxx,D0,D78 + DX,D3,D134,DX,DX,D6,D171,D64,D78,D248,D171,D64,D64,DX,D0,D78)) @ 0x9600000003 <-- (DX,D3,D134,DX,DX,D6,D171,D64,D78,D248,D171,010000xx,DX,DX,D0,D78 - (1xxxxxxx,D3,D134,DX,DX,D6,D171,D64,D78,D248,D171,010000xx,DX,DX,D0,D78)) @ 0xa20000002a <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa10000004a <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa000000001 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78)) @ 0x98000002b5 <-- DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,DX,DX,DX,DX,D0,D2 @ 0x970000004c <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0x960000002f <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0xc00000008 <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D64 @ 0xb00000037 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
367 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
(0xxxxxxx,D32,D141,DX,DX,D6,D171,D64,D78,D248,D171,010000xx,DX,DX,D0,D78 - (DX,D32,D141,DX,DX,D6,D171,D64,D78,D248,D171,D66,D180,101100xx,D0,D78 + DX,D32,D141,DX,DX,D6,D171,D64,D78,D248,D171,D66,D183,01110xxx,D0,D78 + DX,D32,D141,DX,DX,D6,D171,D64,D78,D248,D171,D64,D64,DX,D0,D78)) @ 0x9600000003 <-- (DX,D32,D141,DX,DX,D6,D171,D64,D78,D248,D171,010000xx,DX,DX,D0,D78 - (1xxxxxxx,D32,D141,DX,DX,D6,D171,D64,D78,D248,D171,010000xx,DX,DX,D0,D78)) @ 0xa200000028 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa10000004a <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa000000001 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78)) @ 0x98000002b5 <-- DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,DX,DX,DX,DX,D0,D2 @ 0x970000004c <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0x960000002f <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0xc00000008 <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D64 @ 0xb00000037 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
367 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
(0xxxxxxx,D39,D15,DX,DX,D6,D171,D64,D78,D21,D171,010000xx,DX,DX,D0,D78 - (DX,D39,D15,DX,DX,D6,D171,D64,D78,D21,D171,D66,D180,101100xx,D0,D78 + DX,D39,D15,DX,DX,D6,D171,D64,D78,D21,D171,D66,D183,01110xxx,D0,D78 + DX,D39,D15,DX,DX,D6,D171,D64,D78,D21,D171,D64,D64,DX,D0,D78)) @ 0x9600000003 <-- (DX,D39,D15,DX,DX,D6,D171,D64,D78,D21,D171,010000xx,DX,DX,D0,D78 - (1xxxxxxx,D39,D15,DX,DX,D6,D171,D64,D78,D21,D171,010000xx,DX,DX,D0,D78)) @ 0xa200000026 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa10000004a <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa000000001 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78)) @ 0x98000002b5 <-- DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,DX,DX,DX,DX,D0,D2 @ 0x970000004c <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0x960000002f <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0xc00000008 <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D64 @ 0xb00000037 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
367 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
(0xxxxxxx,D0,D22,DX,DX,D6,D171,D64,D78,D26,D171,010000xx,DX,DX,D0,D78 - (DX,D0,D22,DX,DX,D6,D171,D64,D78,D26,D171,D66,D180,101100xx,D0,D78 + DX,D0,D22,DX,DX,D6,D171,D64,D78,D26,D171,D66,D183,01110xxx,D0,D78 + DX,D0,D22,DX,DX,D6,D171,D64,D78,D26,D171,D64,D64,DX,D0,D78)) @ 0x9600000003 <-- (DX,D0,D22,DX,DX,D6,D171,D64,D78,D26,D171,010000xx,DX,DX,D0,D78 - (1xxxxxxx,D0,D22,DX,DX,D6,D171,D64,D78,D26,D171,010000xx,DX,DX,D0,D78)) @ 0xa200000024 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa10000004a <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa000000001 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78)) @ 0x98000002b5 <-- DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,DX,DX,DX,DX,D0,D2 @ 0x970000004c <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0x960000002f <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0xc00000008 <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D64 @ 0xb00000037 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
367 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
(0xxxxxxx,D0,D22,DX,DX,D6,D171,D64,D78,D18,D171,010000xx,DX,DX,D0,D78 - (DX,D0,D22,DX,DX,D6,D171,D64,D78,D18,D171,D66,D180,101100xx,D0,D78 + DX,D0,D22,DX,DX,D6,D171,D64,D78,D18,D171,D66,D183,01110xxx,D0,D78 + DX,D0,D22,DX,DX,D6,D171,D64,D78,D18,D171,D64,D64,DX,D0,D78)) @ 0x9600000003 <-- (DX,D0,D22,DX,DX,D6,D171,D64,D78,D18,D171,010000xx,DX,DX,D0,D78 - (1xxxxxxx,D0,D22,DX,DX,D6,D171,D64,D78,D18,D171,010000xx,DX,DX,D0,D78)) @ 0xa200000022 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa10000004a <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa000000001 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78)) @ 0x98000002b5 <-- DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,DX,DX,DX,DX,D0,D2 @ 0x970000004c <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0x960000002f <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0xc00000008 <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D64 @ 0xb00000037 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
367 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
(0xxxxxxx,D9,D97,DX,DX,D6,D171,D64,D78,D18,D171,010000xx,DX,DX,D0,D78 - (DX,D9,D97,DX,DX,D6,D171,D64,D78,D18,D171,D66,D180,101100xx,D0,D78 + DX,D9,D97,DX,DX,D6,D171,D64,D78,D18,D171,D66,D183,01110xxx,D0,D78 + DX,D9,D97,DX,DX,D6,D171,D64,D78,D18,D171,D64,D64,DX,D0,D78)) @ 0x9600000003 <-- (DX,D9,D97,DX,DX,D6,D171,D64,D78,D18,D171,010000xx,DX,DX,D0,D78 - (1xxxxxxx,D9,D97,DX,DX,D6,D171,D64,D78,D18,D171,010000xx,DX,DX,D0,D78)) @ 0xa200000018 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa10000004a <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa000000001 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78)) @ 0x98000002b5 <-- DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,DX,DX,DX,DX,D0,D2 @ 0x970000004c <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0x960000002f <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0xc00000008 <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D64 @ 0xb00000037 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
367 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
(0xxxxxxx,D31,D144,DX,DX,D6,D171,D64,D78,D167,D171,010000xx,DX,DX,D0,D78 - (DX,D31,D144,DX,DX,D6,D171,D64,D78,D167,D171,D66,D180,101100xx,D0,D78 + DX,D31,D144,DX,DX,D6,D171,D64,D78,D167,D171,D66,D183,01110xxx,D0,D78 + DX,D31,D144,DX,DX,D6,D171,D64,D78,D167,D171,D64,D64,DX,D0,D78)) @ 0x9600000003 <-- (DX,D31,D144,DX,DX,D6,D171,D64,D78,D167,D171,010000xx,DX,DX,D0,D78 - (1xxxxxxx,D31,D144,DX,DX,D6,D171,D64,D78,D167,D171,010000xx,DX,DX,D0,D78)) @ 0xa200000014 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa10000004a <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa000000001 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78)) @ 0x98000002b5 <-- DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,DX,DX,DX,DX,D0,D2 @ 0x970000004c <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0x960000002f <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0xc00000008 <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D64 @ 0xb00000037 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
367 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
(0xxxxxxx,D0,D25,DX,DX,D6,D171,D64,D78,D167,D171,010000xx,DX,DX,D0,D78 - (DX,D0,D25,DX,DX,D6,D171,D64,D78,D167,D171,D66,D180,101100xx,D0,D78 + DX,D0,D25,DX,DX,D6,D171,D64,D78,D167,D171,D66,D183,01110xxx,D0,D78 + DX,D0,D25,DX,DX,D6,D171,D64,D78,D167,D171,D64,D64,DX,D0,D78)) @ 0x9600000003 <-- (DX,D0,D25,DX,DX,D6,D171,D64,D78,D167,D171,010000xx,DX,DX,D0,D78 - (1xxxxxxx,D0,D25,DX,DX,D6,D171,D64,D78,D167,D171,010000xx,DX,DX,D0,D78)) @ 0xa200000012 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa10000004a <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78 + 1xxxxxxx,DX,DX,DX,DX,D6,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78)) @ 0xa000000001 <-- (DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,D171,010000xx,DX,DX,D0,D78 - (DX,DX,DX,DX,DX,DX,D171,D64,D78,D1,D171,010000xx,DX,DX,D0,D78)) @ 0x98000002b5 <-- DX,DX,DX,DX,DX,DX,D171,D64,D78,DX,DX,DX,DX,DX,D0,D2 @ 0x970000004c <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0x960000002f <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D2 @ 0xc00000008 <-- DX,DX,DX,DX,DX,DX,D171,D64,0100xxxx,DX,DX,DX,DX,DX,D0,D64 @ 0xb00000037 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,D0,D64 @ 0xa00000032 <-- DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX,DX
367 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
