We have 342 topology rules
1210028 --> ( 1220028 )
1210036 --> ( 1220036 )
1210057 --> ( 1220057 )
1220001 --> ( 100001 )
1220007 --> ( 200004 )
1220008 --> ( 1100008 )
1300000 --> ( 1320000 )
1310001 --> ( 1320001 )
1310002 --> ( 1320002 )
1310003 --> ( 1320003 )
1310004 --> ( 1320004 )
1310007 --> ( 1320007 )
1310008 --> ( 1320008 )
1310010 --> ( 1320010 )
1310011 --> ( 1320011 )
1310012 --> ( 1320012 )
1320001 --> ( 200013 )
1320008 --> ( 100012 )
1320010 --> ( 1400010 )
1400000 --> ( 1420000 )
1410001 --> ( 1420001 )
1410002 --> ( 1420002 )
1410003 --> ( 1420003 )
1410004 --> ( 1420004 )
1410007 --> ( 1420007 )
1410008 --> ( 1420008 )
1410010 --> ( 1420010 )
1410011 --> ( 1420011 )
1410012 --> ( 1420012 )
1420001 --> ( 100024 )
1420008 --> ( 200019 )
1420010 --> ( 1300010 )
1500000 --> ( 1520000 )
1510001 --> ( 1520001 )
1510003 --> ( 1520003 )
1510004 --> ( 1520004 )
1510005 --> ( 1520005 )
1510006 --> ( 1520006 )
1510007 --> ( 1520007 )
1510008 --> ( 1520008 )
1510009 --> ( 1520009 )
1510010 --> ( 1520010 )
1510013 --> ( 1520013 )
1510014 --> ( 1520014 )
1510015 --> ( 1520015 )
1510016 --> ( 1520016 )
1510017 --> ( 1520017 )
1510018 --> ( 1520018 )
1510019 --> ( 1520019 )
1510020 --> ( 1520020 )
1510021 --> ( 1520021 )
1510022 --> ( 1520022 )
1510023 --> ( 1520023 )
1510024 --> ( 1520024 )
1510025 --> ( 1520025 )
1510028 --> ( 1520028 )
1510029 --> ( 1520029 )
1510030 --> ( 1520030 )
1510032 --> ( 1520032 )
1510033 --> ( 1520033 )
1510035 --> ( 1520035 )
1510036 --> ( 1520036 )
1510037 --> ( 1520037 )
1510038 --> ( 1520038 )
1510040 --> ( 1520040 )
1510043 --> ( 1520043 )
1510044 --> ( 1520044 )
1510045 --> ( 1520045 )
1510047 --> ( 1520047 )
1510048 --> ( 1520048 )
1510051 --> ( 1520051 )
1510053 --> ( 1520053 )
1510055 --> ( 1520055 )
1510057 --> ( 1520057 )
1510058 --> ( 1520058 )
1510059 --> ( 1520059 )
1520005 --> ( 1600005 )
1520006 --> ( 100015 )
1520007 --> ( 1600006 )
1520036 --> ( 200010 )
1600000 --> ( 1620000 )
